,headlines,categories,time
52,مریم عدالتوں پر یلغار کرکے لانگ مارچ کا ٹریلر دکھانا چاہتی ہیں‘فردو س عاشق ,"['ایم کے', 'جہاد', 'جمہوریت', 'وزیراعلیٰ پنجاب', 'مولانا فضل الرحمن', 'سندھ', 'لانگ مارچ', 'ڈاکٹر', 'مریم نواز شریف', 'مسلم لیگ (ن)', 'کراچی', 'کرپشن', 'آصف علی زرداری', 'پنجاب', 'پیپلز پارٹی', 'عدالت', 'سینیٹ']",2021-03-21T21:15:04+0500
53,۲ کراچی، گزشتہ ہفتے ایسٹ، ویسٹ اور ساوتھ زونز میں چھاپوں کے دوران مجموعی طور پر 920 سے زائد ملزمان گرفتار ,"['سندھ', 'منشیات', 'کراچی', 'پولیس', 'فائرنگ', 'اسلحہ', 'ہلاک', 'ہیروئن']",2021-03-21T21:10:20+0500
54,ؒسرگودھا،بارش کے باعث موٹر وے پر راولپنڈی سے ملتان جانیوالی بس الٹ گئی،3 گاڑیاں آپس میں ٹکراگئیں، 8 افراد شدید زخمی ,"['گاڑیاں', 'بارشیں', 'زخمی', 'حادثہ', 'پولیس', 'ملتان']",2021-03-21T21:10:20+0500
55,ش*امریکی وزیرِدفاع کا افغانستان کا غیر اعلانیہ دورہ، صدر اشرف غنی سے ملاقات,"['افغانستان', 'امریکہ', 'وزیر دفاع']",2021-03-21T21:10:20+0500
56,ج*پنوعاقل، تیز رفتار مسافر وین کا موٹر سائیکل کو ٹکر، ایک شخص جاں بحق,"['پیٹرول', 'ڈرائیور', 'غریب', 'حادثہ', 'جاں بحق', 'پولیس', 'تھانہ']",2021-03-21T21:10:19+0500
57,ُکراچی،منگھوپیر ماربل فیکٹری میں 6 ملزمان نے خاتون کو اجتماعی زیادتی کا نشانہ بنا ڈالا،,"['پولیس', 'محمد علی جناح']",2021-03-21T21:10:19+0500
58,/کراچی، پاکستان رینجرز سند ھ کی جانب سے گزدارآباد نزد اقبال ہوتی روڈ صلاوات کمیونٹی سینٹر میں فری میڈیکل کیمپ کا اہتمام,"['موبائل', 'کراچی', 'پاکستان', 'کرونا وائرس', 'رینجرز']",2021-03-21T21:10:19+0500
59,کراچی،رینجرز اورپولیس کی اورنگی ٹائون میں مشترکہ کارروائی ،قتل اور اغوائ میں ملوث 3 ملزمان گرفتار,"['قتل', 'سندھ', 'پولیس', 'پاکستان', 'تھانہ', 'رینجرز']",2021-03-21T21:10:19+0500
60,سجاول، جاتی میں شہریوں کے مسلسل احتجاج اور اعلیٰ سطحی شکایات کے بعد ایس ڈی او حیسکو نے بجلی بحال کردی ,"['احتجاج', 'پانی', 'بجلی']",2021-03-21T21:10:18+0500
61,سجاول،کوروناکیسز میں مسلسل اضافہ ،ٹیسٹنگ شرح میںاضافہ نہ ہوسکا ,"['کراچی', 'شادی', 'پولیس']",2021-03-21T21:10:18+0500
62,بدین، ایریگیشن اور زراعت کو زیادہ سے زیادہ سہولیات فراہم کی جائیں گی ،سہیل انور سیال ,"['ڈاکٹر', 'سندھ', 'بلاول بھٹو زرداری', 'آصف علی زرداری', 'وزیر اعلیٰ']",2021-03-21T21:10:18+0500
63,ظ*کورونا تیسری لہر میں مسلم لیگ ن کا یوتھ کنونشن سمجھ سے باہر ہے ،کامران بنگش,"['ایم کے', 'مریم نواز شریف', 'مسلم لیگ (ن)', 'بلوچستان', 'تعلیم', 'پاکستان', 'پنجاب', 'پیپلز پارٹی', 'خیبرپختونخوا', 'کرونا وائرس']",2021-03-21T21:10:17+0500
64,Oفواد چوہدری کا کورونا ٹیسٹ منفی آگیا ,"['ٹیکنالوجی', 'فواد چوہدری', 'کار', 'کرونا وائرس']",2021-03-21T21:10:17+0500
65,ر* نواز شریف سچے ہوتے تو کیسز کا سامنا کرنے پاکستان واپس آتے، فیاض چوہان,"['جیل', 'مریم نواز شریف', 'کرپشن', 'پاکستان', 'پنجاب', 'وزیراعظم', 'میاں نواز شریف']",2021-03-21T21:10:17+0500
66,غ*پولیس فرنٹ لائن فورس ہے،تھانوں میں انسانیت کی قدر کریں،آئی جی خیبر پختونخوا,"['پولیس', 'تھانہ', 'امن و امان', 'ڈاکٹر']",2021-03-21T21:10:16+0500
67,ؔنوشہرہ پریم کوآپریٹو ہاوسنگ سوسائٹی کو محکمہ کواپریٹیو کے ہاتھوں یر غمال نہیں ہونے دیں گے ، سی بی اے ,"['غریب', 'نیب ', 'کرپشن', 'پشاور', 'پاکستان', 'ریلوے', 'وزیر اعلیٰ']",2021-03-21T21:10:16+0500
68,ح*حطار، ٹیوٹا ہائی لکس گاڑی خانپور ڈیم میں ڈوب گئی، دو نوجوان جاں بحق ,"['ڈیم', 'پانی', 'حادثہ', 'گاڑی', 'جاں بحق', 'پولیس']",2021-03-21T21:10:15+0500
69,د*راولپنڈی،پولیس نے جرائم پیشہ عناصر کے خلاف کاروائی ،06ملزمان کوگرفتار ,"['پولیس', 'تھانہ']",2021-03-21T21:10:14+0500
70,cراولپنڈی، پولیس کی اشتہاری مجرمان کے خلاف کاروائی,"['پولیس', 'قتل', 'تھانہ', 'ٹیکنالوجی']",2021-03-21T21:10:13+0500
71,راولپنڈی،تھانہ رتہ امرال پولیس کی کاروائی، منشیات فروش گرفتار، 01کلو سے زیادہ چرس برآمد,"['پولیس', 'تھانہ', 'منشیات']",2021-03-21T21:10:13+0500
72,ئ*راولپنڈی،صدر ڈویژن پولیس کی کاروائی، اشتہاری مجرمان کو پناہ دینے 02ملزمان گرفتار,"['پولیس', 'قتل', 'کار']",2021-03-21T21:10:13+0500
73,ئ*راولپنڈی، پولیس کا ناجائز اسلحہ رکھنے والوں کے خلاف موثر کریک ڈاؤن،17ملزمان گرفتار,"['پولیس', 'اسلحہ']",2021-03-21T21:10:13+0500
74,ّکراچی، سرسید یونیورسٹی آف انجینئرنگ اینڈ ٹیکنالوجی کی گرین بلڈنگ ورکشاپ کا انعقاد ,"['ٹیکنالوجی', 'پانی', 'پاکستان', 'کار']",2021-03-21T21:10:12+0500
75,ّاعلی ثانوی تعلیمی بورڈکراچی کی تعلیمی اداروں کی بندش کے حوالے سے جاری خبروں کی تردید ,"['سوشل میڈیا', 'کراچی', 'فیس بک']",2021-03-21T21:10:12+0500
76,ق*راولپنڈی ،تھانہ صادق آباد پولیس کی اہم کاروائی ،شانہ گینگ کے 03 ملزمان گرفتار,"['موبائل', 'پولیس', 'اسلحہ', 'تھانہ', 'کار']",2021-03-21T21:10:12+0500
77,ڑ* نثار احمد کھوڑو کی پیپلز پارٹی سندھ ایگزیکٹو کمیٹی کا اجلاس زیر صدارت,"['سندھ', 'منظور وسان', 'شہید', 'پاکستان', 'پیپلز پارٹی', 'شرجیل میمن']",2021-03-21T21:10:11+0500
78,ج*کراچی، ضلع وسطی میں آوارہ کتّوں کی تعداد میں تشویشناک اضافہ ہو گیا ,"['ڈاکٹر', 'عبدالستار ایدھی']",2021-03-21T21:10:11+0500
79,ایپکا کی عبد الطیف مغل کو ڈسٹرکٹ ایجوکیشن افسر سکینڈری کورنگی تعینات کرنے کی شدید مذمت,"['سندھ', 'خورشید احمد', 'نیب ', 'کراچی', 'کرپشن', 'تعلیم', 'پاکستان']",2021-03-21T21:10:11+0500
80,ا* شکایات کے ازالہ کیلئے بلاکسی ناغہ مصروف عمل ہیں، واٹربورڈ کراچی,"['پانی', 'پولیس', 'نقصان']",2021-03-21T21:10:10+0500
81,s اسداللہ پر قاتلانہ حملہ کھلی دہشتگردی ہے،قاری محمد عثمان,"['سڑک', 'کھیل', 'حملہ', 'جمعیت', 'منشیات', 'کراچی', 'پولیس', 'اسلحہ']",2021-03-21T21:10:10+0500
82,ظ*کراچی ،ضلع وسطی میں66ہزار سے زائد افراد کی ویکسی نیشن کا عمل مکمل کر لیا گیا,"['ڈاکٹر', 'سندھ', 'کراچی', 'کرپشن', 'کرونا وائرس']",2021-03-21T21:10:09+0500
83,گ*تعلیم معاشرے میں سماجی یگانگت اور پرامن بقائے باہمی کی کنجی ہے،شائستہ سہیل,"['ڈاکٹر', 'امریکہ', 'تعلیم', 'اقوام متحدہ', 'پاکستان', 'یورپ']",2021-03-21T21:10:09+0500
84,ح*کراچی، 13 ویں نیشنل فورم آف انٹرنیشنل کارپوریٹ سوشل ریسپانسبلٹی سمٹ,"['سندھ', 'دنیا', 'علاج']",2021-03-21T21:10:08+0500
85,_ لیاقت بلوچ25مارچ کو سندھ کا دوروزہ دورہ کریں گے,"['سندھ', 'پاکستان']",2021-03-21T21:10:07+0500
86,ً ملک وقوم کو عملی طور پر عالمی مالیاتی اداروں کے پاس گروی رکھ دیا گیا ،محمدحسین محنتی,"['حافظ محمد سعید', 'جمہوریت', 'سندھ', 'دنیا', 'طوفان', 'مہنگائی', 'پاکستان', 'جماعت اسلامی']",2021-03-21T21:10:07+0500
87,Uسانگھڑ، یوم شہادت سورہیہ بادشاہ منایا گیا ,"['قرارداد', 'ڈاکٹر', 'سندھ', 'چیمبر آف کامرس', 'دہشت گرد', 'پاکستان', 'اسمبلی']",2021-03-21T21:10:06+0500
88,ٹ*تنگوانی، ڈیرہ سرکی پولیس کی گاؤں حفیظ اللہ خان کھوسو میں چڑھائی ,"['سندھ', 'پولیس', 'نقصان', 'احتجاج']",2021-03-21T21:10:06+0500
89,ُکراچی، چوری اور چھنی ہوئی36 کاریں،4 سازگار رکشے اور25 مو ٹر سا ئیکلیں مالکان کے سپر د ,"['گاڑیاں', 'سی آئی اے', 'سندھ', 'کراچی', 'پولیس']",2021-03-21T21:10:06+0500
90,ً پی ایم سی بلوچستان میں میڈیکل ایجوکیشن کو جان بوجھ کر ختم کرنے پر تلی ہوئی ہیں، بلوچ ڈاکٹرز فورم ,"['بلوچستان', 'تعلیم']",2021-03-21T21:10:05+0500
91,نوشکی، بلوچستان میں مکمل مذہبی آزادی ہے، بے بنیاد پروپیگنڈوں کی شدید مذمت کرتے ہیں ، نومنتخب سینیٹر دنیش کمار پلیانی,"['بھارت', 'احتجاج', 'کرسمس', 'آرمی چیف', 'بلوچستان', 'اقلیت', 'پاکستان']",2021-03-21T21:10:05+0500
92,:کوئٹہ ،ن 3معصوم بچوں کے قتل میں ملوث مرکزی ملزم گرفتار،صوبائی وزیر داخلہ میر ضیاء اللہ لانگو کا اظہار اطمینان ,"['قتل', 'میرا', 'دنیا', 'قاتل', 'کوئٹہ']",2021-03-21T21:10:05+0500
