,headlines,categories
57,سکھر،ملٹری روڈ پر مسلح افراد کی فائرنگ ، دو افرادزخمی ، اسپتال منتقل,"['پولیس', 'علاج', 'تھانہ', 'فائرنگ', 'زخمی']"
58,صالح پٹ میں صحافی اجے لعلوانی کے قتل کا معاملہ ، صحافی تنظیموں کا احتجاج,"['قاتل', 'چین', 'مولانا فضل الرحمن', 'دھرنا', 'قتل']"
59,الخدمت کراچی میں پانی کی کمی پورا کرنے کیلئے مختلف منصوبوں پر کام کر رہی ہے،نویدعلی بیگ,"['پانی', 'کراچی']"
60,جامعہ کراچی، 88طلبا ء و طالبات میں ڈگریاں تقسیم کردی گئیں,"['کراچی', 'ٹیکنالوجی', 'ڈاکٹر', 'یمن', 'ریاض']"
61,جامعہ کراچی ،یوم پاکستان کی مناسبت سے ایک روزہ تصویری نمائش ,"['یوم پاکستان', 'کراچی', 'ڈاکٹر', 'محمد علی جناح', 'پاکستان']"
62,جامعہ کراچی کا طلباء کیلئے سکالر شپ اور وظیفے جاری رکھنے کا فیصلہ,"['کراچی', 'ڈاکٹر']"
63,حیدرآباد،حکومت سندھ ماحولیات کے مسائل کے حل کیلئے کوششیں کر رہی ہے،مرتضی وہاب ,"['پانی', 'عدالت', 'وزیر اعلیٰ', 'کرکٹ', 'ٹریفک', 'سندھ']"
64,نوشہرہ، محبوبہ نے اشنا کے ساتھ مل کر شوہر کو قتل کردیا ،گرفتار ملزمہ کا اعتراف جرم,"['پولیس', 'عدالت', 'تھانہ', 'ڈکیتی']"
65,نوشہرہ،خیبر پختون خواہ پروفیسرز اینڈ لیکچرارز فورم کا حکومت سے دے ڈسپیرٹی ریلیف الاؤنس کی ادائیگی کا مطالبہ ,"['احتجاج', 'ڈاکٹر']"
66,کوئٹہ ،ہمیشہ وہی قومیں دنیا میں بلند مقام حاصل کرتی ہیں جو ایک دوسرے کا ساتھ دیتی ہیں،نعمت اللہ خان ظہیر,"['نعمت اللہ خان', 'غریب', 'بلوچستان', 'پاکستان', 'دنیا']"
67,خوشحالی مائیکروفنانس بینک نے سائبر تھریٹ انٹیلی جنس پلیٹ فارم کے ساتھ شراکت داری کرلی,['پاکستان']
68,پی سی بی کاکلبز کی رجسٹریشن کے عمل میں 8 اپریل تک توسیع کرنے پر اتفاق ,"['پی سی بی', 'کرکٹ', 'پاکستان کرکٹ بورڈ', 'پاکستان']"
69,قومی کرکٹر اظہر علی کی والدہ انتقال کر گئیں ,"['کرکٹ', 'پاکستان کرکٹ بورڈ', 'پاکستان', 'ٹوئٹر']"
70,آل سندھ چیف سیکرٹری چیلنج کپ،ایگل اسپورٹس کی شاندار کامیابی,"['سندھ', 'برما', 'فٹبال']"
