,headlines,categories
72,حفاظتی تدابیرپر ناقص عملدر آمد کووڈ 19 کی تیسری لہر کاسبب بن سکتا ہے ، فافن رپورٹ ,"['کار', 'کرونا وائرس', 'جاں بحق']"
73,سینیٹ الیکشن میں کروڑوں کی بولیاں لگ رہی ہیں، اسد عمر ,"['الیکشن', 'سینیٹ', 'اسمبلی', 'اسد عمر', 'عام انتخابات 2018', 'کاروبار', 'جمہوریت', 'پاکستان تحریک انصاف', 'پاکستان']"
74,بہاول پور، شوہر اور سسرالیوں نے خاتون پر تیزاب پھینک دیا,[]
75,ہمارے نمبرز پورے ہیں، 181 میں سے 176 لوگوں نے ظہرانے میں شرکت کی، فواد چوہدری,"['الیکشن', 'سینیٹ', 'لانگ مارچ', 'عدالت', 'مسلم لیگ (ن)', 'سندھ', 'آصف علی زرداری', 'یوسف رضا گیلانی', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'مولانا فضل الرحمن', 'کراچی', 'فواد چوہدری', 'ٹیکنالوجی']"
76,سینیٹ کی 48 نشستوں پر انتخاب (کل) ہوگا,"['کار', 'پاکستان', 'الیکشن', 'سینیٹ', 'بلوچستان', 'عدالت', 'قومی اسمبلی', 'پنجاب', 'ووٹ', 'سندھ', 'یوسف رضا گیلانی', 'اسمبلی', 'الیکشن کمیشن', 'صوبائی اسمبلی', 'عام انتخابات 2018', 'شہباز شریف', 'سپریم کورٹ']"
77,سینیٹ الیکشن، کرپٹ پریکٹس روکنے کیلئے خصوصی مانیٹرنگ سیل قائم,"['الیکشن', 'سینیٹ', 'نادرا', 'الیکشن کمیشن', 'عام انتخابات 2018', 'چیف الیکشن کمشنر']"
78,جسٹس قاضی فائزعیسیٰ کیس ،نظرِ ثانی اپیلوں پر سماعت، ججز کے مکالمے پر سپریم کورٹ میں قہقہے,"['پارلیمنٹ', 'عدالت', 'سماعت', 'قاضی فائز عیسیٰ کیخلاف ریفرنس خارج', 'عارف علوی', 'پاکستان', 'سپریم کورٹ']"
79,وزیراعظم سے ایم کیو ایم وفد کی ملاقات، کراچی پیکج پر تیزی لانے کا مطالبہ,"['ٹیکنالوجی', 'خالد مقبول', 'سینیٹ', 'قومی اسمبلی', 'ایم کے', 'اسمبلی', 'عام انتخابات 2018', 'وزیراعظم', 'کراچی', 'پاکستان', 'متحدہ قومی موومنٹ']"
80,سینیٹر فیصل جاوید خان نے وزیراعظم عمران خان کی پرانی ویڈیو شیئرکردی,"['پاکستان', 'سینیٹ', 'عام انتخابات 2018', 'وزیراعظم', 'پاکستان تحریک انصاف', 'ٹوئٹر']"
81,مریم اورنگزیب کا فواد چوہدری کو نئی نوکری ڈھونڈنے کا مشورہ,"['ووٹ', 'مریم اورنگزیب', 'چور', 'بجلی', 'سوئی گیس', 'فواد چوہدری', 'ٹیکنالوجی']"
82,ملک کے 81 فیصد ڈاکٹرز ویکسین لگوانے کیلئے تیار، سروے رپورٹ,"['کرونا وائرس', 'پاکستان']"
83,وزیراعظم کی زیرصدارت اجلاس ،پی ٹی آئی کا یوسف رضا گیلانی کے خط کو مسترد کرکے بھرپور جواب دینے کا فیصلہ ,"['ڈاکٹر', 'اسمبلی', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'سینیٹ', 'بلوچستان', 'ووٹ', 'عثمان بزدار', 'حفیظ شیخ', 'وزیراعظم', 'کراچی', 'متحدہ قومی موومنٹ', 'میاں نواز شریف', 'الیکشن', 'ڈالر', 'یوسف رضا گیلانی', 'وزیراعلیٰ پنجاب', 'کرپشن', 'پنجاب']"
84,جماعت اسلامی کا تحریک انصاف کے امیدواروں کو ووٹ نہ دینے کا اعلان ,"['الیکشن', 'سینیٹ', 'جماعت اسلامی', 'ایم کے', 'ووٹ', 'سندھ', 'سراج الحق', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'خیبرپختونخوا', 'پاکستان']"
85,پارٹی کے ساتھ ہوں لیکن ان کو ووٹ نہیں دوں گا، اسلم ابڑو,"['گورنر', 'الیکشن', 'سینیٹ', 'ووٹ', 'سندھ', 'فیصل واوڈا', 'اسمبلی', 'عام انتخابات 2018', 'وزیراعظم', 'اغوا', 'پاکستان تحریک انصاف', 'پاکستان']"
86,سندھ میں پی ٹی آئی کے تین مزید ارکان منحرف ہوگئے : شہلا رضا کا دعوی,"['گورنر', 'پیپلز پارٹی', 'شہلا رضا', 'سندھ', 'اسمبلی', 'ہوٹل']"
87,ایم کیو ایم اراکین دوسرے دن بھی سندھ اسمبلی سے غیر حاضر,"['الیکشن', 'سینیٹ', 'پیپلز پارٹی', 'ایم کے', 'ووٹ', 'سندھ', 'موبائل', 'اسمبلی', 'عام انتخابات 2018', 'فیصل واوڈا', 'ہوٹل', 'متحدہ قومی موومنٹ']"
88,سندھ سے گریڈ 20 افسران کے تبادلوں کا معاملہ، وفاق اور صوبے میں تنازع شدت اختیار کر گیا،چیف سیکرٹری کا وفاقی سیکرٹری اسٹیبلشمنٹ کو خط,"['پولیس', 'سندھ']"
89,پاکستان میں توانائی شعبے کا گردشی قرض 2300 ارب روپے تک پہنچ گیا,"['بجلی', 'پاکستان']"
90,نیو کراچی،سیوریج کا نظام سیکٹر 11 ڈی یوسی 6 اور سیکٹر 5 ای یوسی 7 میں تباہ کردیا گیا,"['کراچی', 'ڈاکٹر', 'پانی']"
91,مہنگائی کے جان لیوا دور میں غریب کی فریاد سننے والا کوئی نہیں ہے،ایاز میمن موتی والا,"['کرونا وائرس', 'مہنگائی', 'غریب', 'بجلی', 'کاروبار', 'کراچی', 'تباہی', 'پاکستان']"
92,نظام مصطفی پارٹی کی تشکیل نو کا پہلا مرحلہ مکمل ہو گیا,"['بلوچستان', 'معین خان', 'قومی اسمبلی', 'کرپشن', 'پنجاب', 'ڈاکٹر', 'سندھ', 'اسمبلی', 'ہوٹل', 'مسئلہ کشمیر', 'پاکستان']"
93,علما یونیورسٹی کا پاکستان انٹرنیشنل ائیر لائنزکے ساتھ مفاہمتی یادداشت پر دستخط ,"['دنیا', 'ڈاکٹر', 'تعلیم', 'علما', 'پی آئی اے', 'کراچی', 'پاکستان']"
94,سندھ میں سینیٹ کے انتخابات تحریک انصاف کیلئے امتحان بن گئے ,"['گورنر', 'سینیٹ', 'سندھ', 'اسمبلی', 'عام انتخابات 2018', 'اغوا', 'ہوٹل', 'پاکستان تحریک انصاف']"
95,الیکشن کمیشن نے علی حیدر گیلانی کی ویڈیو کا نوٹس لے لیا,"['علی حیدر گیلانی', 'الیکشن', 'سینیٹ', 'عدالت', 'قومی اسمبلی', 'مسلم لیگ (ن)', 'ووٹ', 'سندھ', 'یوسف رضا گیلانی', 'اسمبلی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'پاکستان تحریک انصاف', 'ٹیکنالوجی', 'سپریم کورٹ']"
96,علی حیدر گیلانی کی مبینہ ویڈیو، پی ٹی آئی الیکشن کمیشن پہنچ گئی,"['علی حیدر گیلانی', 'پاکستان', 'الیکشن', 'سینیٹ', 'ووٹ', 'یوسف رضا گیلانی', 'الیکشن کمیشن', 'عام انتخابات 2018', 'حفیظ شیخ', 'پاکستان تحریک انصاف', 'فواد چوہدری', 'ٹیکنالوجی']"
97,پاکستان تحریک انصاف کی حکومت کی اولین ترجیح عوامی مسائل کا حل ہے‘شوکت علی لالیکا,"['پانی', 'پنجاب', 'پولیس', 'امن و امان', 'پاکستان تحریک انصاف', 'پاکستان']"
98,کسانوں نے ریورراوی پراجیکٹ کے کے احتجاج شروع کر دیا,['احتجاج']
99,ایکسائز اینڈ ٹیکسیشن کے تحت ٹیکس وصولیوں کے لیے منفعت بخش ٹیکسیشن کا ماڈل متعارف کروایا جائیگا‘ وزیر خزانہ,"['درآمد', 'پنجاب', 'جی ٹی روڈ', 'ایف بی آر']"
100,اینٹی کرپشن بھی ایف بی آر کے ریڈار پرآ گیا ,"['ایف بی آر', 'ریکارڈ', 'پنجاب', 'کرپشن', 'بجٹ']"
101,کھاریاں ،میرا اپنا کھاریاں ویلفیئرٹرسٹ کے زیراہتمام ایک لاکھ پودوں کی فری نرسری کا افتتاح کر دیا گیا,"['میرا', 'ریاض', 'جی ٹی روڈ', 'ڈاکٹر']"
102,خاتون کی شکایت پر تھانہ بنی کا ہیڈکانسٹیبل معطل، انکوائری کا حکم,['پولیس']
