,headlines,categories,time
53,نوشہرہ کینٹ، جامعہ دارالعلوم حقانیہ اکوڑہ خٹک میں تقریب ختم بخاری شریف اور تقسیم اسناد کل شروع ہوگی,"['پاکستان', 'مولانا سمیع الحق', 'دفاع پاکستان کونسل', 'دنیا', 'شہید', 'جمعیت']",2021-03-09T21:57:05+0500
54,حکومت کو پاکستان ڈکیٹ موومنٹ نہیں مہنگائی کاچیلنج درپیش ہی:فردوس عاشق,"['الیکشن کمیشن', 'لاہور', 'پاکستان', 'مہنگائی', 'پنجاب', 'پاکستان تحریک انصاف', 'عثمان بزدار', 'وزیراعظم', 'عام انتخابات 2018', 'سینیٹ', 'کاروبار', 'الیکشن', 'جہاد', 'وزیر اعلیٰ', 'لانگ مارچ', 'فردوس عاشق اعوان', 'کرپشن', 'بنک', 'ووٹ', 'ڈاکٹر', 'حکومت پنجاب', 'کار', 'ملازمت', 'مولانا فضل الرحمن']",2021-03-09T21:57:05+0500
55,حضرت واصف علی واصفؒ کے سالانہ عرس کی تین روزہ تقریبات اختتام پذیر,['ڈاکٹر'],2021-03-09T21:57:05+0500
56,مسلط کردہ حکومت کے دن گنے جا چکے، پی ٹی آئی کی مسلط کردہ حکومت ملک و قوم کیلئے بوجھ بن چکی ہے ، محمد اشرف بھٹی,"['لاہور', 'پاکستان', 'آصف علی زرداری', 'پیپلز پارٹی', 'بلاول بھٹو زرداری']",2021-03-09T21:57:05+0500
57,جب سے تبدیلی سرکار آئی ہے گھریلو خواتین مہنگائی کی وجہ سے شدید پریشانی کا شکار ہیں،روبینہ سہیل بٹ,"['ڈرون', 'پاکستان', 'مہنگائی', 'عام انتخابات 2018', 'غریب', 'سونامی', 'پیپلز پارٹی']",2021-03-09T21:57:05+0500
58,راولپنڈی رنگ روڈ اور نالہ لئی ایکسپریس منصوبوں کو جلد مکمل کیا جائے،میاں محمود الرشید,"['پاکستان', 'پنجاب', 'وزیر اعلیٰ', 'نیا پاکستان', 'تعلیم', 'عثمان بزدار']",2021-03-09T21:57:05+0500
59,لاہور پریس کلب عہدیداران کی بورڈآف انٹرمیڈیٹ اینڈ سیکنڈری ایجوکیشن لاہور کے دفاتر میں ایجوکیشن رپورٹرز کے داخلے پر پابندی کی شدید مذمت,"['حملہ', 'احتجاج', 'لاہور']",2021-03-09T21:57:05+0500
60,امریکا کی افغانستان میں تمام فریقین پر مشتمل نگراں حکومت کے قیام کی تجویز,"['افغانستان', 'امریکہ', 'عام انتخابات 2018', 'طالبان', 'فوج']",2021-03-09T21:52:55+0500
61,جاپان کا اولمپکس مقابلے غیرملکی تماشائیوں کے بغیر کرانے کا فیصلہ ,['کرونا وائرس'],2021-03-09T21:52:55+0500
62,روس کی ڈس انفارمیشن کا اصل ہدف جرمنی ہے، یورپین یونین,"['مذاکرات', 'علاج', 'جرمنی', 'اٹلی', 'روس', 'ماسکو', 'فرانس', 'کار', 'جیل', 'عدالت', 'یورپ', 'یورپی یونین']",2021-03-09T21:52:55+0500
63,بنگلا دیش میں پہلی خواجہ سرا نیوزاینکر بن گئیں,[],2021-03-09T21:52:55+0500
64,وزیر اعظم عمران خان سے سردار تنویر الیاس کی ملاقا، آزاد کشمیر کے انتخابات پر تفصیلی گفتگو ہوئی,"['پاکستان', 'پنجاب', 'عام انتخابات 2018', 'مسئلہ کشمیر', 'پاکستان تحریک انصاف']",2021-03-09T21:52:55+0500
65,کراچی،یکساں نظام تعلیم کی آڑ میں مغربی ایجنڈے کو ملک پر مسلط کرنے کی کوشش قابل مذمت ہے، ڈاکٹر فرید پراچہ,"['پاکستان', 'جماعت اسلامی', 'پارلیمنٹ', 'کراچی', 'علما', 'بنک', 'ڈاکٹر', 'نقصان', 'تعلیم', 'کرونا وائرس', 'دنیا', 'سندھ', 'ریاض', 'جمعیت']",2021-03-09T21:52:55+0500
66,کراچی ، جس علم کے ذریعے انسان انسان سے نہ جڑے وہ علم فتنہ ہے، سراج الحق,"['جماعت اسلامی', 'پاکستان', 'کراچی', 'عام انتخابات 2018', 'تعلیم', 'سراج الحق', 'سندھ']",2021-03-09T21:52:55+0500
67,لاہور،پولیس کے 1100 کنٹریکٹ ملازمین کی دو ماہ سے بند تنخواہیں جاری کی گئیں: ترجمان اے جی پنجاب,"['ملتان', 'پولیس', 'پنجاب', 'کرونا وائرس']",2021-03-09T21:52:55+0500
68,پاکستان سٹیزن پورٹل پر موصول ہونے والی شکایات کے ازالے کے لئے تربیتی ورکشاپ کا انعقاد,"['وزیراعظم', 'پاکستان', 'پنجاب']",2021-03-09T21:52:55+0500
69,پنجاب اسمبلی ،بہاولپور میٹرو پولیٹن یونیورسٹی، سپیرئیر کالج لاہور ،یونیورسٹی آف چناب کے مسودات قوانین کی منظوری,"['وزیر قانون', 'کمپنی', 'لاہور', 'اسمبلی', 'پنجاب', 'میٹرو', 'راجہ بشارت', 'پنجاب اسمبلی', 'پاکستان تحریک انصاف', 'چوہدری پرویز الٰہی', 'فیصل آباد', 'سڑک', 'تیل', 'شہباز شریف', 'پیپلز پارٹی', 'احتجاج']",2021-03-09T21:52:55+0500
70,نیول چیف ایڈمرل محمد امجد خان نیازی قطر کے سرکاری دورے پر پہنچ گئے,"['کار', 'قطر']",2021-03-09T21:46:42+0500
71,بجلی کی قیمت میں 89 پیسے فی یونٹ اضافہ منظور ,"['بجلی', 'سماعت', 'نیپرا', 'کے الیکٹرک']",2021-03-09T21:46:42+0500
72,رمضان المبارک میں چینی اورگندم کی قلت کا خدشہ,"['قلت', 'پاکستان', 'کراچی', 'رمضان المبارک', 'غریب']",2021-03-09T21:46:42+0500
73,ملک کے بالائی علاقوں میں بارش کی پیش گوئی,"['لاہور', 'پاکستان', 'ملتان', 'مسئلہ کشمیر', 'کوئٹہ', 'پشاور', 'بارشیں', 'ساہیوال']",2021-03-09T21:46:42+0500
74,کوہلو،جاندران ویلفیئر فائونڈیشن اور دوستی ویلفیئر آرگنائزیشن کے زیر اہتمام محکمہ تعلیم کے ساتھ مل کر تعلیمی داخلہ مہم کا آغاز,"['تعلیم', 'بلوچستان', 'مری']",2021-03-09T21:46:42+0500
75,کوہلو،ر میں تجاوزات کے خلاف آپریشن ، شاہراہوں اور عوامی مقامات پر قائم تجاوزات کو ہٹا دیا ,"['مری', 'پولیس', 'تھانہ', 'ٹریفک', 'شہید']",2021-03-09T21:46:42+0500
76,کوئٹہ پریس کلب کی کابینہ تحلیل، نادر چھلگری ایڈووکیٹ کی سربراہی میں کمیٹی تشکیل,"['کوئٹہ', 'عام انتخابات 2018', 'الیکشن']",2021-03-09T21:46:42+0500
77,قدیم علمی درسگاہ جامعہ مطلع العلوم بروری روڈ کوئٹہ کے سالانہ ختم بخاری شریف ودستار فضیلت کل ہو گی,"['کوئٹہ', 'بلوچستان']",2021-03-09T21:46:42+0500
78,کوئٹہ ،ملک میں بنی حقیقی جمہوری سیاسی پارٹیوں کی تحریک کامیابی کے ساتھ اپنے منزل کی جانب رواں ہے،رہنما پشتونخوا سٹوڈنٹس آرگنائزیشن ,"['مہنگائی', 'مارشل لا', 'محمود خان اچکزئی', 'لانگ مارچ', 'شہید']",2021-03-09T21:46:42+0500
79,جس کمپنی کو ہم نے بلیک لسٹ کیا، پی ٹی آئی حکومت نے اسے پشاور بی آرٹی کا ٹھیکا دے دیا گیا، شہباز شریف کا دعویٰ,"['ڈکیتی', 'سماعت', 'کمپنی', 'کرپشن', 'لاہور', 'پنجاب', 'پاکستان تحریک انصاف', 'وکلا', 'شہباز شریف', 'وزیراعلیٰ پنجاب', 'مسلم لیگ (ن)', 'جیل', 'پشاور', 'عدالت', 'پشاور میٹرو']",2021-03-09T21:42:05+0500
80,گورنر پنجاب چوہدری محمد سرور سے چیئرمین رویت ہلال کمیٹی مولانا سید محمد عبد الخبیر آزاد کی ملاقات ،باہمی دلچسپی کے امور پر تبادلہ خیال ,"['گورنر', 'پاکستان', 'پنجاب']",2021-03-09T21:39:31+0500
81,شبلی فرازسلیکٹیڈکا دفاع کرنے میں اپنی کارکردگی کی استعدادظاہرکررہے ہیں،,"['مہنگائی', 'پاکستان تحریک انصاف', 'وزیر اطلاعات', 'فوج', 'سندھ']",2021-03-09T21:39:31+0500
82,جامتعہ المحصنات کی طالبات فتنوں کے خلاف صف آراہوجائیں، علمی تحریک کے ذریعے ہی فتنوں کا خاتمہ ممکن ہوگا ،سراج الحق ,"['جماعت اسلامی', 'پاکستان', 'کراچی', 'عام انتخابات 2018', 'تعلیم', 'سراج الحق', 'سندھ']",2021-03-09T21:39:31+0500
83,یکساں نظام تعلیم کی آڑ میں مغربی ایجنڈے کی تکمیل قابل مذمت ہے ،ْفرید پراچہ ,"['پاکستان', 'جماعت اسلامی', 'پارلیمنٹ', 'کراچی', 'علما', 'بنک', 'ڈاکٹر', 'نقصان', 'تعلیم', 'کرونا وائرس', 'دنیا', 'سندھ', 'ریاض', 'جمعیت']",2021-03-09T21:39:31+0500
84,ذیابطیس کے مریضوں میں دانتوں کی نامناسب صفائی کی وجہ سے پائریا کا مرض عام ہے،ڈاکٹرحسن رضا,"['موبائل', 'فیس بک', 'پاکستان', 'فٹبال', 'کرکٹ', 'ڈاکٹر', 'ہاکی', 'ٹینس', 'پانی', 'عارف علوی']",2021-03-09T21:39:31+0500
85,پاکستان سٹیزن پورٹل پر موصول ہونے والی شکایات کے ازالے کے لئے تربیتی ورکشاپ کا انعقاد,"['وزیراعظم', 'پاکستان', 'پنجاب']",2021-03-09T21:39:31+0500
86,بیساکھیوں پر چلنے والے حکمرانوں کی وجہ سے پاکستان اس وقت دنیا میں بے وقعت ہوکر رہ گئی ہے،رہنما نیشنل پارٹی,"['ڈکیتی', 'اٹھارویں ترمیم', 'پاکستان', 'لاپتہ افراد', 'پولیس', 'امن و امان', 'بلوچستان', 'ووٹ', 'جمہوریت', 'دنیا', 'ایف سی', 'تعلیم', 'پانی', 'قتل']",2021-03-09T21:39:31+0500
87,وزیراعظم عمران خان نے پنجاب میں بڑی تبدیلی کا عندیہ دیدیا ,"['این اے249', 'وزیراعظم', 'الیکشن کمیشن', 'پنجاب', 'یوسف رضا گیلانی', 'اسد عمر', 'عام انتخابات 2018', 'سینیٹ', 'پرویز خٹک', 'شاہ محمود قریشی', 'علی حیدر گیلانی', 'الیکشن', 'اسلام آباد']",2021-03-09T21:39:31+0500
88,وزیر اعظم کی زیر صدارت اہم اجلاس، وفاقی وزیر داخلہ شیخ رشید کو مدعو نہیں کیا گیا,"['پاکستان تحریک انصاف', 'ریلوے']",2021-03-09T21:39:31+0500
89,جناح ہسپتال میں طالبہ کو مردہ حالت میں چھوڑ کر جانے والے ملزموں کی ضمانتیں مسترد ,"['سماعت', 'طالبہ', 'ریکارڈ', 'محمد علی جناح', 'عدالت', 'قتل']",2021-03-09T21:39:30+0500
90,سینیٹ کی سینیٹررحمان ملک کی بہترین کارکردگی پر زبردست تعریف ,"['پاکستان', 'بھارت', 'پارلیمنٹ', 'رحمان ملک', 'مسئلہ کشمیر', 'سینیٹ', 'نریندرا مودی', 'عدالت', 'مقبوضہ کشمیر', 'قتل']",2021-03-09T21:32:00+0500
91,اسلام آباد،پرانی فیس میں جدید ٹیکنالوجی سے آراستہ اسمارٹ چپ ڈرائیونگ لائسنس کارڈ متعارف کرا دیا گیا ,"['نادرا', 'پولیس', 'ٹیکنالوجی']",2021-03-09T21:32:00+0500
92,انتخابی حلقے این اے 75 ڈسکہ میں ضمنی الیکشن 18 مارچ کو ہوں گے,"['الیکشن کمیشن', 'پاکستان', 'پنجاب', 'عام انتخابات 2018', 'این اے75', 'الیکشن']",2021-03-09T21:32:00+0500
93,اسلام آباد میں کرونا کیسز میں اضافہ، 3 تعلیمی ادارے بند کرنے کا فیصلہ,"['ڈاکٹر', 'کرونا وائرس']",2021-03-09T21:32:00+0500
94,آئیسکو چیف نے فتح جنگ میں ایس ڈی او کے نئے دفتر کا افتتاح کر دیا,"['بجلی', 'واپڈا', 'کمپنی', 'پاکستان']",2021-03-09T21:32:00+0500
95,ایوان بالا اجلاس ، مالیاتی بل انکم ٹیکس(ترمیمی)بل 2021 کی نقل ایوان میں پیش کر دی گئی,['سینیٹ'],2021-03-09T21:32:00+0500
